# aggregate_requirement	coverage_kind	coverage_id	description
./tools/product-repository-cleanup status	gap	product_repository_cleanup_status	Aggregate product-repository-cleanup status coverage is provided by a final-gap command.
./tools/git-workflow status	gap	git_workflow_status	Aggregate Git workflow status coverage is provided by a final-gap command.
./tools/git-workflow cleanup-plan	gap	git_workflow_cleanup_plan	Aggregate Git workflow cleanup-plan coverage is provided by a final-gap command.
./tools/test_lesson_playwright.sh	hook	test_lesson_playwright	Aggregate Playwright coverage is provided by the matching Git hook row and same-run Playwright evidence.
./tools/test_menu_prerequisites.sh	hook	test_menu_prerequisites	Aggregate menu prerequisite coverage is provided by the matching Git hook row.
./tools/test_product_gate_tools.sh	hook	test_product_gate_tools	Aggregate product gate coverage is provided by the matching Git hook row.
./tools/test_product_launch_check.sh	hook	test_product_launch_check	Aggregate product launch-path coverage is provided by the matching Git hook row.
./tools/test_product_scaffold_check.sh	hook	test_product_scaffold_check	Aggregate product scaffold coverage is provided by the matching Git hook row.
./tools/test_product_repository_cleanup.sh	hook	test_product_repository_cleanup	Aggregate product repository cleanup coverage is provided by the matching Git hook row.
./tools/test_product_repository_authority.sh	hook	test_product_repository_authority	Aggregate product repository authority coverage is provided by the matching Git hook row.
./tools/test_product_repository_mode.sh	hook	test_product_repository_mode	Aggregate product repository operation-mode coverage is provided by the matching Git hook row.
./tools/test_product_security.sh	hook	test_product_security	Aggregate product security coverage is provided by the matching Git hook row.
./tools/test_product_git_usage_modes.sh	hook	test_product_git_usage_modes	Aggregate product Git usage mode coverage is provided by the matching Git hook row.
./tools/test_lesson_start_position.sh	hook	test_lesson_start_position	Aggregate lesson start-position coverage is provided by the matching Git hook row.
./tools/test_lesson.sh	hook	test_lesson	Aggregate 7-step lesson CLI coverage is provided by the matching Git hook row.
./tools/test_lesson14.sh	hook	test_lesson14	Aggregate 14-step lesson CLI coverage is provided by the matching Git hook row.
